id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
943,M,1.2125,0.975,0.3125,15.71979775,7.824462,3.64291075,4.762716,8.0
944,F,1.425,1.05,0.35,24.76328825,11.07047975,5.953395,6.80388,10.0
945,M,1.8125,1.375,0.45,52.673371,24.79163775,12.076887,11.12717875,10.0
946,I,0.575,0.4375,0.0,1.77184375,0.737087,0.510291,0.56699,5.0
947,F,1.425,1.0875,0.3,23.91280325,11.49572225,5.159609,6.6621325,8.0
948,M,1.2375,1.0,0.3,18.0019325,9.355335,3.92640575,4.55009475,11.0
949,I,1.125,0.8625,0.3,11.49572225,4.706017,2.65067825,3.8271825,8.0
950,M,1.4625,1.0875,0.3875,29.10076175,12.00601325,6.123492,8.09378225,9.0
951,F,1.4875,1.075,0.3875,26.2232875,11.26892625,5.556502,8.3631025,10.0
952,M,1.2,0.9375,0.3125,15.762322,6.76135575,3.27436725,4.819415,9.0
953,F,1.75,1.375,0.475,44.111822,20.0430965,11.15552825,12.47378,15.0
954,F,1.7625,1.375,0.55,53.6089045,25.3161035,13.8062065,16.08834125,10.0
955,F,1.8,1.4375,0.5375,55.46579675,15.025235,11.90679,16.5844575,20.0
956,M,1.4875,1.125,0.375,27.0170735,12.6155275,4.63514325,7.52679225,10.0
957,M,1.8375,1.4125,0.4875,49.32813,20.97863,10.1207715,15.7339725,13.0
958,M,1.55,1.2,0.375,34.06192425,16.5844575,6.47786075,8.9300925,10.0
959,F,1.3,1.0125,0.325,18.86659225,8.0796075,4.8477645,5.6699,11.0
960,M,1.325,1.0625,0.35,21.8007655,8.91591775,5.23048275,7.2291225,11.0
961,I,1.0875,0.8125,0.2625,10.39009175,4.422522,2.26796,3.118445,9.0
962,F,1.75,1.4375,0.5125,44.4803655,18.9091165,10.75863525,13.04077,10.0
963,M,1.4125,1.15,0.4375,29.15746075,13.11164375,5.74077375,9.4970825,19.0
964,F,1.4125,1.1,0.4375,29.540179,12.8423235,5.74077375,9.128539,10.0
965,F,1.275,0.9875,0.3375,15.66309875,6.7755305,3.81300775,4.6776675,8.0
966,I,1.1625,0.9125,0.3,12.54465375,5.443104,2.31048425,3.92640575,7.0
967,M,1.65,1.2375,0.4125,41.39027,19.731252,7.47009325,11.46737275,11.0
968,M,1.525,1.2125,0.4,29.1149365,10.942907,6.90310325,8.50485,18.0
969,F,1.575,1.2875,0.4375,38.71124225,18.824068,8.29222875,10.3475675,9.0
970,F,1.6375,1.3,0.525,48.477645,14.004653,9.4970825,15.87572,18.0
971,I,1.175,0.9125,0.3,14.10387625,6.73300625,2.8066005,3.96893,8.0
972,M,1.65,1.2625,0.5,40.24211525,17.0097,8.83086925,11.49572225,14.0
973,F,1.475,1.1625,0.4125,31.56716825,15.989118,6.98815175,7.767763,9.0
974,F,1.45,1.1,0.375,26.0531905,12.7289255,5.1312595,6.80388,12.0
975,I,0.9375,0.7125,0.225,7.9095105,3.55786225,1.45999925,1.984465,7.0
976,F,1.65,1.25,0.45,36.58502975,13.99047825,8.2497045,11.3398,12.0
977,F,1.6125,1.25,0.4125,37.0527965,17.3215445,8.5331995,8.6465975,11.0
978,I,1.2,0.975,0.35,17.7184375,8.6465975,3.75630875,5.0178615,8.0
979,F,1.3375,1.05,0.3875,20.0997955,7.69688925,4.7910655,5.783298,14.0
980,M,1.4125,1.075,0.3625,25.060958,9.87980075,5.40057975,8.221355,8.0
981,I,1.1375,0.875,0.3625,14.78426425,6.25106475,2.9199985,5.6699,12.0
982,I,0.925,0.7125,0.225,6.44951125,2.70737725,1.2757275,2.1262125,6.0
983,M,1.3625,1.1,0.3375,24.99008425,10.90038275,4.86193925,7.5126175,12.0
984,I,0.85,0.625,0.2125,5.10291,2.11203775,1.17650425,1.5592225,6.0
985,F,1.4,1.075,0.325,24.81998725,12.133586,4.3941725,6.80388,9.0
986,M,1.25,0.9375,0.3125,17.70426275,7.9662095,3.515338,4.9611625,7.0
987,F,1.4375,1.1375,0.3875,28.4345485,11.8784405,7.6260155,7.37087,10.0
988,M,1.4375,1.0875,0.4,27.45649075,13.42348825,4.77689075,8.0796075,10.0
989,I,1.075,0.8125,0.2375,8.901743,4.3374735,1.871067,2.551455,7.0
990,F,1.65,1.3125,0.5,42.354153,18.75319425,7.47009325,12.190285,20.0
991,M,1.4375,1.1125,0.4125,26.2232875,10.44679075,6.44951125,7.7961125,10.0
992,F,1.45,1.15,0.3625,25.231055,11.0846545,5.783298,7.087375,9.0
993,I,1.3125,1.025,0.3625,21.70154225,9.14271375,5.896696,5.5281525,11.0
994,M,1.25,0.95,0.3375,14.8267885,5.6699,3.7704835,5.953395,9.0
995,M,0.7,0.5375,0.175,3.47281375,1.360776,1.03475675,0.850485,5.0
996,M,1.45,1.1125,0.3625,27.68328675,12.71475075,5.8683465,7.5126175,10.0
997,I,0.95,0.725,0.2125,7.8528115,2.7499015,1.43164975,2.324659,6.0
998,F,1.325,1.0625,0.425,23.57260925,7.3992195,6.08096775,7.2291225,14.0
999,F,1.4625,1.125,0.4375,27.34309275,10.56018875,6.1518415,8.391452,13.0
